"","short.id","IGSN","Location","Site","Position","id","year","month","top_depth_cm","bottom_depth_cm","ppm_C","eoc_dry_mass","c_per_g_soil","eoc_method","ppm_C_sd","eoc_dry_mass_sd","c_per_g_soil_sd"
"103","LUQ-047","IECZM0081","LUQ","IC","R","LUQ-IC-R",2022,1,140,145,4.05,3.64,0.022252747,"hot water",NA,NA,NA
"104","LUQ-048","IECZM0082","LUQ","IC","R","LUQ-IC-R",2022,1,145,150,1.75,3.98,0.00879397,"hot water",NA,NA,NA
"105","LUQ-049","IECZM007W","LUQ","IC","R","LUQ-IC-R",2022,1,100,105,16.88,3.74,0.09026738,"hot water",NA,NA,NA
"106","LUQ-050","IECZM0086","LUQ","IC","R","LUQ-IC-R",2022,1,170,180,2.38,4.25,0.0112,"hot water",NA,NA,NA
"107","LUQ-051","IECZM007P","LUQ","IC","R","LUQ-IC-R",2022,1,40,50,31.37,3.61,0.173795014,"hot water",NA,NA,NA
"108","LUQ-052","IECZM0080","LUQ","IC","R","LUQ-IC-R",2022,1,130,140,3.03,3.17,0.019116719,"hot water",NA,NA,NA
"109","LUQ-053","IECZM007N","LUQ","IC","R","LUQ-IC-R",2022,1,20,30,32.96,3.22,0.204720497,"hot water",NA,NA,NA
"110","LUQ-054","IECZM007Z","LUQ","IC","R","LUQ-IC-R",2022,1,120,130,6.42,3.69,0.034796748,"hot water",NA,NA,NA
"111","LUQ-055","IECZM005M","LUQ","EV","M","LUQ-EV-M",2022,1,0,10,35.72,2.72,0.262647059,"hot water",NA,NA,NA
"112","LUQ-056","IECZM0073","LUQ","IC","M","LUQ-IC-M",2022,1,40,50,31.08,3.93,0.158167939,"hot water",NA,NA,NA
"113","LUQ-057","IECZM0077","LUQ","IC","M","LUQ-IC-M",2022,1,80,90,16.88,3.98,0.084824121,"hot water",NA,NA,NA
"114","LUQ-058","IECZM0076","LUQ","IC","M","LUQ-IC-M",2022,1,70,80,25.56,4.07,0.125601966,"hot water",NA,NA,NA
"115","LUQ-059","IECZM007V","LUQ","IC","R","LUQ-IC-R",2022,1,90,100,24.38,3.69,0.132140921,"hot water",NA,NA,NA
"116","LUQ-060","IECZM0083","LUQ","IC","R","LUQ-IC-R",2022,1,150,160,2.77,4.26,0.013004695,"hot water",NA,NA,NA
"117","LUQ-061","IECZM0082","LUQ","IC","R","LUQ-IC-R",2022,1,145,150,0.58,4.26,0.002723005,"hot water",NA,NA,NA
"118","LUQ-062","IECZM0065","LUQ","EV","M","LUQ-EV-M",2022,1,190,200,2.87,2.97,0.019326599,"hot water",NA,NA,NA
"119","LUQ-063","IECZM005X","LUQ","EV","M","LUQ-EV-M",2022,1,110,120,7.77,2.98,0.052147651,"hot water",NA,NA,NA
"120","LUQ-064","IECZM006W","LUQ","EV","T","LUQ-EV-T",2022,1,60,70,10.66,3.19,0.066833856,"hot water",NA,NA,NA
"121","LUQ-065","IECZM006X","LUQ","EV","T","LUQ-EV-T",2022,1,70,80,10.25,3.24,0.063271605,"hot water",NA,NA,NA
"122","LUQ-066","IECZM006J","LUQ","EV","R","LUQ-EV-R",2022,1,130,140,10.09,3.26,0.06190184,"hot water",NA,NA,NA
"123","LUQ-068","IECZM006O","LUQ","EV","R","LUQ-EV-R",2022,1,180,190,23.05,3.25,0.141846154,"hot water",1.35764501987817,0,0.00835473814872302
"124","LUQ-069","IECZM006M","LUQ","EV","R","LUQ-EV-R",2022,1,160,170,2.64,3.52,0.015,"hot water",NA,NA,NA
"125","LUQ-070","IECZM006K","LUQ","EV","R","LUQ-EV-R",2022,1,140,150,11.66,3.34,0.069820359,"hot water",NA,NA,NA
"126","LUQ-071","IECZM0069","LUQ","EV","R","LUQ-EV-R",2022,1,30,40,25.76,3.63,0.141928375,"hot water",NA,NA,NA
"127","LUQ-072","IECZM005U","LUQ","EV","M","LUQ-EV-M",2022,1,80,90,9.32,3.27,0.057003058,"hot water",NA,NA,NA
"128","LUQ-073","IECZM006U","LUQ","EV","T","LUQ-EV-T",2022,1,40,50,21.04,3.11,0.135305466,"hot water",NA,NA,NA
"129","LUQ-074","IECZM005P","LUQ","EV","M","LUQ-EV-M",2022,1,30,40,27.33,3.31,0.165135952,"hot water",NA,NA,NA
"130","LUQ-075","IECZM005T","LUQ","EV","M","LUQ-EV-M",2022,1,70,80,15.3,3.22,0.095031056,"hot water",NA,NA,NA
"131","LUQ-076","IECZM0067","LUQ","EV","R","LUQ-EV-R",2022,1,10,20,81.96,3.05,0.537442623,"hot water",NA,NA,NA
