unit_levels,Var_long,var,givenUnit,unitConversionFactor
kg ha-1,Bulk Layer Total Nitrogen stock,lyr_n_tot_stock,g N m-2,0.1000
t ha-1,Bulk Layer Total Nitrogen stock,lyr_n_tot_stock,g N m-2,100.0000
cm,Layer Top,layer_top,cm,1.0000
mm,Layer Top,layer_top,cm,0.1000
dm,Layer Top,layer_top,cm,10.0000
m,Layer Top,layer_top,cm,100.0000
cm,Layer Bottom,layer_bot,cm,1.0000
mm,Layer Bottom,layer_bot,cm,0.1000
dm,Layer Bottom,layer_bot,cm,10.0000
m,Layer Bottom,layer_bot,cm,100.0000
cm,Layer middle,layer_mid,cm,1.0000
mm,Layer middle,layer_mid,cm,0.1000
dm,Layer middle,layer_mid,cm,10.0000
m,Layer middle,layer_mid,cm,100.0000
%,Sand,sand,percent,1.0000
fraction,Sand,sand,percent,100.0000
%,Silt,silt,percent,1.0000
fraction,Silt,silt,percent,100.0000
%,Clay,clay,percent,1.0000
fraction,Clay,clay,percent,100.0000
%,Coarse Fraction,coarse_frac,percent,1.0000
fraction,Coarse Fraction,coarse_frac,percent,100.0000
cm,Coarse Fraction Size Threshold Used,coarse_tot,mm,10.0000
mm,Coarse Fraction Size Threshold Used,coarse_tot,mm,1.0000
dm,Coarse Fraction Size Threshold Used,coarse_tot,mm,100.0000
m,Coarse Fraction Size Threshold Used,coarse_tot,mm,1000.0000
ug g-1,Calcium Carbonate,caco3,percent,0.0001
%,Calcium Carbonate,caco3,percent,1.0000
g kg-1,Calcium Carbonate,caco3,percent,0.1000
mg kg-1,Calcium Carbonate,caco3,percent,0.0001
mg g-1,Calcium Carbonate,caco3,percent,0.1000
ug g-1,Calcium,Ca,mmol kg-1,0.0250
%,Calcium,Ca,mmol kg-1,249.5134
g kg-1,Calcium,Ca,mmol kg-1,24.9513
mg kg-1,Calcium,Ca,mmol kg-1,0.0250
mg g-1,Calcium,Ca,mmol kg-1,24.9513
meq 100g-1,Calcium,Ca,mmol kg-1,10.0000
cmol H+ kg-1,Calcium,Ca,mmol kg-1,10.0000
ug g-1,Magnesium,Mg,mmol kg-1,0.0411
%,Magnesium,Mg,mmol kg-1,411.4380
g kg-1,Magnesium,Mg,mmol kg-1,41.1438
mg kg-1,Magnesium,Mg,mmol kg-1,0.0411
mg g-1,Magnesium,Mg,mmol kg-1,41.1438
meq 100g-1,Magnesium,Mg,mmol kg-1,10.0000
cmol H+ kg-1,Magnesium,Mg,mmol kg-1,10.0000
ug g-1,Posassium,K,mmol kg-1,0.0256
%,Posassium,K,mmol kg-1,255.7676
g kg-1,Posassium,K,mmol kg-1,25.5768
mg kg-1,Posassium,K,mmol kg-1,0.0256
mg g-1,Posassium,K,mmol kg-1,25.5768
meq 100g-1,Posassium,K,mmol kg-1,10.0000
cmol H+ kg-1,Posassium,K,mmol kg-1,10.0000
ug g-1,Sodium,Na,mmol kg-1,0.0435
%,Sodium,Na,mmol kg-1,434.7826
g kg-1,Sodium,Na,mmol kg-1,43.4783
mg kg-1,Sodium,Na,mmol kg-1,0.0435
